Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.04,0,2
3,1,2.0,2,0.13,1,2
100,1,93.0,7,0.33,7,93
200,1,178.0,7,0.33,22,178
2000,1,1770.0,7,0.33,230,1770
10000,1,8932.0,7,0.33,1068,8932
20000,1,17815.0,7,0.33,2185,17815
40000,1,35633.0,7,0.33,4367,35633
60000,1,53425.0,7,0.33,6575,53425
80000,1,71202.0,7,0.33,8798,71202
100000,1,88979.0,7,0.33,11021,88979
200000,1,177934.0,7,0.33,22066,177934
400000,1,356036.0,7,0.33,43964,356036
600000,1,534215.0,7,0.33,65785,534215
800000,1,712124.0,7,0.33,87876,712124
1000000,1,889858.0,7,0.33,110142,889858
2,2,2.0,1,0.04,0,2
3,2,3.0,2,0.13,0,3
100,2,86.0,17,0.88,14,86
200,2,169.0,22,1.08,31,169
2000,2,1790.0,33,1.52,210,1790
10000,2,8912.0,33,1.52,1088,8912
20000,2,17841.0,33,1.52,2159,17841
40000,2,35607.0,33,1.52,4393,35607
60000,2,53411.0,33,1.52,6589,53411
80000,2,71375.0,33,1.52,8625,71375
100000,2,89109.0,33,1.52,10891,89109
200000,2,178163.0,33,1.52,21837,178163
400000,2,356179.0,33,1.52,43821,356179
600000,2,534253.0,33,1.52,65747,534253
800000,2,712187.0,33,1.52,87813,712187
1000000,2,890223.0,33,1.52,109777,890223
2,3,1.0,1,0.04,1,1
3,3,2.0,2,0.13,1,2
100,3,89.0,99,4.41,11,89
200,3,182.0,199,8.41,18,182
2000,3,1718.0,1999,81.26,282,1718
10000,3,8578.0,9999,401.26,1422,8578
20000,3,17095.0,19999,801.26,2905,17095
40000,3,34061.0,39999,1601.26,5939,34061
60000,3,51014.0,59999,2401.26,8986,51014
80000,3,67986.0,79999,3201.26,12014,67986
100000,3,84938.0,99999,4001.26,15062,84938
200000,3,170169.0,199999,8001.26,29831,170169
400000,3,340233.0,399999,16001.26,59767,340233
600000,3,510032.0,599999,24001.26,89968,510032
800000,3,680160.0,799999,32001.26,119840,680160
1000000,3,850134.0,999999,40001.26,149866,850134
2,4,2.0,1,0.04,0,2
3,4,3.0,2,0.13,0,3
100,4,79.0,41,2.09,21,79
200,4,165.0,44,2.21,35,165
2000,4,1761.0,44,2.21,239,1761
10000,4,8819.0,44,2.21,1181,8819
20000,4,17770.0,44,2.21,2230,17770
40000,4,35620.0,44,2.21,4380,35620
60000,4,53360.0,44,2.21,6640,53360
80000,4,71144.0,44,2.21,8856,71144
100000,4,88948.0,44,2.21,11052,88948
200000,4,177986.0,44,2.21,22014,177986
400000,4,355942.0,44,2.21,44058,355942
600000,4,533919.0,44,2.21,66081,533919
800000,4,712023.0,44,2.21,87977,712023
1000000,4,890080.0,44,2.21,109920,890080
2,5,2.0,1,0.04,0,2
3,5,2.0,2,0.13,1,2
100,5,82.0,78,3.17,18,82
200,5,174.0,78,3.17,26,174
2000,5,1760.0,78,3.17,240,1760
10000,5,8916.0,78,3.17,1084,8916
20000,5,17825.0,78,3.17,2175,17825
40000,5,35625.0,78,3.17,4375,35625
60000,5,53490.0,78,3.17,6510,53490
80000,5,71274.0,78,3.17,8726,71274
100000,5,89037.0,78,3.17,10963,89037
200000,5,178084.0,78,3.17,21916,178084
400000,5,356128.0,78,3.17,43872,356128
600000,5,534006.0,78,3.17,65994,534006
800000,5,711830.0,78,3.17,88170,711830
1000000,5,889797.0,78,3.17,110203,889797
2,6,1.0,1,0.04,1,1
3,6,2.0,2,0.13,1,2
100,6,87.0,28,2.47,13,87
200,6,172.0,28,2.47,28,172
2000,6,1738.0,28,2.47,262,1738
10000,6,8856.0,28,2.47,1144,8856
20000,6,17772.0,28,2.47,2228,17772
40000,6,35481.0,28,2.47,4519,35481
60000,6,53254.0,28,2.47,6746,53254
80000,6,71094.0,28,2.47,8906,71094
100000,6,88961.0,28,2.47,11039,88961
200000,6,177981.0,28,2.47,22019,177981
400000,6,355703.0,28,2.47,44297,355703
600000,6,533778.0,28,2.47,66222,533778
800000,6,711768.0,28,2.47,88232,711768
1000000,6,889525.0,28,2.47,110475,889525
2,7,1.0,1,0.04,1,1
3,7,2.0,2,0.13,1,2
100,7,90.0,45,4.0,10,90
200,7,175.0,49,4.36,25,175
2000,7,1750.0,53,4.72,250,1750
10000,7,8864.0,53,4.72,1136,8864
20000,7,17729.0,53,4.72,2271,17729
40000,7,35519.0,53,4.72,4481,35519
60000,7,53367.0,53,4.72,6633,53367
80000,7,71118.0,53,4.72,8882,71118
100000,7,88982.0,53,4.72,11018,88982
200000,7,178025.0,53,4.72,21975,178025
400000,7,356069.0,53,4.72,43931,356069
600000,7,534196.0,53,4.72,65804,534196
800000,7,712274.0,53,4.72,87726,712274
1000000,7,890310.0,53,4.72,109690,890310
2,8,2.0,1,0.04,0,2
3,8,3.0,2,0.13,0,3
100,8,84.0,70,3.8,16,84
200,8,175.0,170,7.8,25,175
2000,8,1772.0,305,13.2,228,1772
10000,8,8885.0,308,13.32,1115,8885
20000,8,17774.0,308,13.32,2226,17774
40000,8,35499.0,308,13.32,4501,35499
60000,8,53328.0,308,13.32,6672,53328
80000,8,71113.0,308,13.32,8887,71113
100000,8,88944.0,308,13.32,11056,88944
200000,8,177908.0,308,13.32,22092,177908
400000,8,356069.0,308,13.32,43931,356069
600000,8,533847.0,308,13.32,66153,533847
800000,8,711903.0,308,13.32,88097,711903
1000000,8,889866.0,308,13.32,110134,889866
2,9,2.0,1,0.04,0,2
3,9,3.0,2,0.13,0,3
100,9,90.0,16,1.09,10,90
200,9,172.0,34,2.46,28,172
2000,9,1760.0,45,2.9,240,1760
10000,9,8900.0,45,2.9,1100,8900
20000,9,17847.0,45,2.9,2153,17847
40000,9,35590.0,45,2.9,4410,35590
60000,9,53373.0,45,2.9,6627,53373
80000,9,71184.0,45,2.9,8816,71184
100000,9,89060.0,45,2.9,10940,89060
200000,9,178224.0,45,2.9,21776,178224
400000,9,356059.0,45,2.9,43941,356059
600000,9,534069.0,45,2.9,65931,534069
800000,9,712078.0,45,2.9,87922,712078
1000000,9,890122.0,45,2.9,109878,890122
2,10,2.0,1,0.04,0,2
3,10,3.0,2,0.13,0,3
100,10,82.0,97,6.68,18,82
200,10,167.0,197,11.88,33,167
2000,10,1686.0,1997,84.73,314,1686
10000,10,8499.0,9997,404.73,1501,8499
20000,10,17033.0,19997,804.73,2967,17033
40000,10,34109.0,39997,1604.73,5891,34109
60000,10,51147.0,59997,2404.73,8853,51147
80000,10,68200.0,79997,3204.73,11800,68200
100000,10,85232.0,99997,4004.73,14768,85232
200000,10,170190.0,199997,8004.73,29810,170190
400000,10,340036.0,399997,16004.73,59964,340036
600000,10,509930.0,599997,24004.73,90070,509930
800000,10,679982.0,799997,32004.73,120018,679982
1000000,10,850214.0,999997,40004.73,149786,850214
2,11,2.0,1,0.04,0,2
3,11,3.0,2,0.13,0,3
100,11,81.0,50,2.2,19,81
200,11,171.0,50,2.2,29,171
2000,11,1751.0,50,2.2,249,1751
10000,11,8921.0,50,2.2,1079,8921
20000,11,17809.0,50,2.2,2191,17809
40000,11,35558.0,50,2.2,4442,35558
60000,11,53349.0,50,2.2,6651,53349
80000,11,71138.0,50,2.2,8862,71138
100000,11,88990.0,50,2.2,11010,88990
200000,11,177943.0,50,2.2,22057,177943
400000,11,355753.0,50,2.2,44247,355753
600000,11,533910.0,50,2.2,66090,533910
800000,11,711720.0,50,2.2,88280,711720
1000000,11,889779.0,50,2.2,110221,889779
2,12,2.0,1,0.04,0,2
3,12,3.0,2,0.13,0,3
100,12,83.0,96,4.04,17,83
200,12,164.0,196,8.04,36,164
2000,12,1704.0,1996,80.04,296,1704
10000,12,8487.0,9996,400.04,1513,8487
20000,12,16995.0,19996,800.04,3005,16995
40000,12,33966.0,39996,1600.04,6034,33966
60000,12,50975.0,59996,2400.04,9025,50975
80000,12,68035.0,79996,3200.04,11965,68035
100000,12,85059.0,99996,4000.04,14941,85059
200000,12,170075.0,199996,8000.04,29925,170075
400000,12,340072.0,399996,16000.04,59928,340072
600000,12,509976.0,599996,24000.04,90024,509976
800000,12,679829.0,799996,32000.04,120171,679829
1000000,12,849611.0,999996,40000.04,150389,849611
2,13,2.0,1,0.04,0,2
3,13,3.0,2,0.13,0,3
100,13,80.0,35,2.65,20,80
200,13,171.0,35,2.65,29,171
2000,13,1775.0,35,2.65,225,1775
10000,13,8840.0,35,2.65,1160,8840
20000,13,17776.0,35,2.65,2224,17776
40000,13,35584.0,35,2.65,4416,35584
60000,13,53412.0,35,2.65,6588,53412
80000,13,71205.0,35,2.65,8795,71205
100000,13,89031.0,35,2.65,10969,89031
200000,13,177995.0,35,2.65,22005,177995
400000,13,355766.0,35,2.65,44234,355766
600000,13,533810.0,35,2.65,66190,533810
800000,13,711944.0,35,2.65,88056,711944
1000000,13,889740.0,35,2.65,110260,889740
2,14,2.0,1,0.04,0,2
3,14,3.0,2,0.13,0,3
100,14,87.0,72,3.73,13,87
200,14,174.0,140,6.5,26,174
2000,14,1793.0,218,9.62,207,1793
10000,14,8919.0,218,9.62,1081,8919
20000,14,17827.0,218,9.62,2173,17827
40000,14,35641.0,218,9.62,4359,35641
60000,14,53390.0,224,9.86,6610,53390
80000,14,71237.0,224,9.86,8763,71237
100000,14,88982.0,224,9.86,11018,88982
200000,14,177883.0,224,9.86,22117,177883
400000,14,355796.0,224,9.86,44204,355796
600000,14,533908.0,224,9.86,66092,533908
800000,14,711816.0,224,9.86,88184,711816
1000000,14,889545.0,224,9.86,110455,889545
2,15,2.0,1,0.04,0,2
3,15,3.0,2,0.13,0,3
100,15,86.0,57,3.93,14,86
200,15,178.0,57,3.93,22,178
2000,15,1763.0,118,6.67,237,1763
10000,15,8861.0,118,6.67,1139,8861
20000,15,17705.0,118,6.67,2295,17705
40000,15,35498.0,118,6.67,4502,35498
60000,15,53245.0,118,6.67,6755,53245
80000,15,71062.0,118,6.67,8938,71062
100000,15,88861.0,118,6.67,11139,88861
200000,15,177891.0,118,6.67,22109,177891
400000,15,355958.0,118,6.67,44042,355958
600000,15,533909.0,118,6.67,66091,533909
800000,15,712063.0,118,6.67,87937,712063
1000000,15,890329.0,118,6.67,109671,890329
2,16,2.0,1,0.04,0,2
3,16,3.0,2,0.13,0,3
100,16,83.0,40,2.4,17,83
200,16,170.0,40,2.4,30,170
2000,16,1754.0,40,2.4,246,1754
10000,16,8890.0,40,2.4,1110,8890
20000,16,17757.0,40,2.4,2243,17757
40000,16,35593.0,40,2.4,4407,35593
60000,16,53504.0,40,2.4,6496,53504
80000,16,71427.0,40,2.4,8573,71427
100000,16,89247.0,40,2.4,10753,89247
200000,16,178224.0,40,2.4,21776,178224
400000,16,356421.0,40,2.4,43579,356421
600000,16,534446.0,40,2.4,65554,534446
800000,16,712065.0,40,2.4,87935,712065
1000000,16,889885.0,40,2.4,110115,889885
2,17,2.0,1,0.04,0,2
3,17,2.0,2,0.13,1,2
100,17,86.0,7,0.33,14,86
200,17,178.0,7,0.33,22,178
2000,17,1781.0,7,0.33,219,1781
10000,17,8918.0,7,0.33,1082,8918
20000,17,17859.0,7,0.33,2141,17859
40000,17,35680.0,7,0.33,4320,35680
60000,17,53411.0,7,0.33,6589,53411
80000,17,71244.0,7,0.33,8756,71244
100000,17,89056.0,7,0.33,10944,89056
200000,17,178035.0,7,0.33,21965,178035
400000,17,355983.0,7,0.33,44017,355983
600000,17,533845.0,7,0.33,66155,533845
800000,17,711757.0,7,0.33,88243,711757
1000000,17,889878.0,7,0.33,110122,889878
2,18,2.0,1,0.04,0,2
3,18,3.0,2,0.13,0,3
100,18,88.0,14,1.01,12,88
200,18,174.0,59,5.06,26,174
2000,18,1786.0,71,6.14,214,1786
10000,18,8844.0,71,6.14,1156,8844
20000,18,17728.0,71,6.14,2272,17728
40000,18,35549.0,71,6.14,4451,35549
60000,18,53362.0,71,6.14,6638,53362
80000,18,71234.0,71,6.14,8766,71234
100000,18,89076.0,71,6.14,10924,89076
200000,18,178292.0,71,6.14,21708,178292
400000,18,356073.0,71,6.14,43927,356073
600000,18,534257.0,71,6.14,65743,534257
800000,18,712341.0,71,6.14,87659,712341
1000000,18,890350.0,71,6.14,109650,890350
2,19,2.0,1,0.04,0,2
3,19,2.0,2,0.13,1,2
100,19,89.0,49,2.01,11,89
200,19,175.0,58,2.37,25,175
2000,19,1783.0,65,2.65,217,1783
10000,19,8947.0,65,2.65,1053,8947
20000,19,17792.0,65,2.65,2208,17792
40000,19,35624.0,65,2.65,4376,35624
60000,19,53368.0,65,2.65,6632,53368
80000,19,71137.0,65,2.65,8863,71137
100000,19,88922.0,65,2.65,11078,88922
200000,19,177961.0,65,2.65,22039,177961
400000,19,355973.0,65,2.65,44027,355973
600000,19,534070.0,65,2.65,65930,534070
800000,19,712064.0,65,2.65,87936,712064
1000000,19,890126.0,65,2.65,109874,890126
2,20,1.0,1,0.04,1,1
3,20,2.0,2,0.13,1,2
100,20,87.0,23,2.02,13,87
200,20,174.0,27,2.38,26,174
2000,20,1772.0,27,2.38,228,1772
10000,20,8908.0,27,2.38,1092,8908
20000,20,17789.0,27,2.38,2211,17789
40000,20,35660.0,27,2.38,4340,35660
60000,20,53455.0,27,2.38,6545,53455
80000,20,71227.0,27,2.38,8773,71227
100000,20,88959.0,27,2.38,11041,88959
200000,20,177632.0,27,2.38,22368,177632
400000,20,355651.0,27,2.38,44349,355651
600000,20,533688.0,27,2.38,66312,533688
800000,20,711736.0,27,2.38,88264,711736
1000000,20,889678.0,27,2.38,110322,889678
2,21,2.0,1,0.04,0,2
3,21,3.0,2,0.13,0,3
100,21,89.0,47,3.58,11,89
200,21,174.0,70,5.65,26,174
2000,21,1763.0,82,6.58,237,1763
10000,21,8905.0,82,6.58,1095,8905
20000,21,17768.0,82,6.58,2232,17768
40000,21,35594.0,82,6.58,4406,35594
60000,21,53407.0,82,6.58,6593,53407
80000,21,71222.0,82,6.58,8778,71222
100000,21,89056.0,82,6.58,10944,89056
200000,21,178038.0,82,6.58,21962,178038
400000,21,355847.0,82,6.58,44153,355847
600000,21,533716.0,82,6.58,66284,533716
800000,21,711534.0,82,6.58,88466,711534
1000000,21,889779.0,82,6.58,110221,889779
2,22,2.0,1,0.04,0,2
3,22,2.0,2,0.13,1,2
100,22,90.0,10,0.45,10,90
200,22,184.0,10,0.45,16,184
2000,22,1798.0,14,0.61,202,1798
10000,22,8937.0,14,0.61,1063,8937
20000,22,17828.0,14,0.61,2172,17828
40000,22,35599.0,14,0.61,4401,35599
60000,22,53448.0,14,0.61,6552,53448
80000,22,71303.0,14,0.61,8697,71303
100000,22,89078.0,14,0.61,10922,89078
200000,22,178291.0,14,0.61,21709,178291
400000,22,356268.0,14,0.61,43732,356268
600000,22,534262.0,14,0.61,65738,534262
800000,22,712376.0,14,0.61,87624,712376
1000000,22,890612.0,14,0.61,109388,890612
2,23,2.0,1,0.04,0,2
3,23,3.0,2,0.13,0,3
100,23,84.0,27,1.63,16,84
200,23,167.0,27,1.63,33,167
2000,23,1770.0,27,1.63,230,1770
10000,23,8896.0,27,1.63,1104,8896
20000,23,17780.0,27,1.63,2220,17780
40000,23,35521.0,27,1.63,4479,35521
60000,23,53257.0,27,1.63,6743,53257
80000,23,71061.0,27,1.63,8939,71061
100000,23,88909.0,27,1.63,11091,88909
200000,23,177831.0,27,1.63,22169,177831
400000,23,355705.0,27,1.63,44295,355705
600000,23,533871.0,27,1.63,66129,533871
800000,23,711967.0,27,1.63,88033,711967
1000000,23,889871.0,27,1.63,110129,889871
2,24,2.0,1,0.04,0,2
3,24,2.0,2,0.13,1,2
100,24,89.0,39,1.61,11,89
200,24,175.0,39,1.61,25,175
2000,24,1764.0,47,1.93,236,1764
10000,24,8886.0,47,1.93,1114,8886
20000,24,17699.0,47,1.93,2301,17699
40000,24,35539.0,47,1.93,4461,35539
60000,24,53254.0,47,1.93,6746,53254
80000,24,71000.0,47,1.93,9000,71000
100000,24,88807.0,47,1.93,11193,88807
200000,24,177821.0,47,1.93,22179,177821
400000,24,356097.0,47,1.93,43903,356097
600000,24,534039.0,47,1.93,65961,534039
800000,24,711843.0,47,1.93,88157,711843
1000000,24,889922.0,47,1.93,110078,889922
2,25,2.0,1,0.04,0,2
3,25,2.0,2,0.13,1,2
100,25,90.0,44,1.81,10,90
200,25,178.0,64,2.61,22,178
2000,25,1785.0,84,3.41,215,1785
10000,25,8886.0,89,3.61,1114,8886
20000,25,17817.0,89,3.61,2183,17817
40000,25,35644.0,89,3.61,4356,35644
60000,25,53436.0,89,3.61,6564,53436
80000,25,71200.0,89,3.61,8800,71200
100000,25,89006.0,89,3.61,10994,89006
200000,25,178147.0,89,3.61,21853,178147
400000,25,356141.0,89,3.61,43859,356141
600000,25,534045.0,89,3.61,65955,534045
800000,25,711954.0,89,3.61,88046,711954
1000000,25,889996.0,89,3.61,110004,889996
2,26,2.0,1,0.04,0,2
3,26,3.0,2,0.13,0,3
100,26,86.0,77,3.53,14,86
200,26,170.0,171,7.69,30,170
2000,26,1784.0,270,13.2,216,1784
10000,26,8876.0,270,13.2,1124,8876
20000,26,17756.0,270,13.2,2244,17756
40000,26,35595.0,270,13.2,4405,35595
60000,26,53418.0,270,13.2,6582,53418
80000,26,71193.0,270,13.2,8807,71193
100000,26,88893.0,270,13.2,11107,88893
200000,26,177816.0,270,13.2,22184,177816
400000,26,356059.0,270,13.2,43941,356059
600000,26,534064.0,270,13.2,65936,534064
800000,26,711987.0,270,13.2,88013,711987
1000000,26,889982.0,270,13.2,110018,889982
2,27,1.0,1,0.04,1,1
3,27,2.0,2,0.13,1,2
100,27,83.0,99,8.36,17,83
200,27,161.0,199,17.11,39,161
2000,27,1600.0,1999,179.11,400,1600
10000,27,7974.0,9999,899.11,2026,7974
20000,27,15979.0,19999,1799.11,4021,15979
40000,27,31987.0,39999,3599.11,8013,31987
60000,27,47971.0,59999,5399.11,12029,47971
80000,27,63936.0,79999,7199.11,16064,63936
100000,27,80048.0,99999,8999.11,19952,80048
200000,27,159990.0,199999,17999.11,40010,159990
400000,27,320162.0,399999,35999.11,79838,320162
600000,27,480066.0,599999,53999.11,119934,480066
800000,27,640068.0,799999,71999.11,159932,640068
1000000,27,800292.0,999999,89999.11,199708,800292
2,28,2.0,1,0.04,0,2
3,28,3.0,2,0.13,0,3
100,28,86.0,57,2.58,14,86
200,28,176.0,57,2.58,24,176
2000,28,1805.0,57,2.58,195,1805
10000,28,8901.0,57,2.58,1099,8901
20000,28,17776.0,59,2.66,2224,17776
40000,28,35531.0,59,2.66,4469,35531
60000,28,53328.0,59,2.66,6672,53328
80000,28,71120.0,59,2.66,8880,71120
100000,28,88967.0,59,2.66,11033,88967
200000,28,178048.0,59,2.66,21952,178048
400000,28,355822.0,59,2.66,44178,355822
600000,28,533543.0,59,2.66,66457,533543
800000,28,711334.0,59,2.66,88666,711334
1000000,28,889254.0,59,2.66,110746,889254
2,29,1.0,1,0.04,1,1
3,29,2.0,2,0.13,1,2
100,29,81.0,42,3.73,19,81
200,29,171.0,42,3.73,29,171
2000,29,1781.0,42,3.73,219,1781
10000,29,8906.0,42,3.73,1094,8906
20000,29,17811.0,42,3.73,2189,17811
40000,29,35618.0,42,3.73,4382,35618
60000,29,53458.0,42,3.73,6542,53458
80000,29,71230.0,42,3.73,8770,71230
100000,29,89034.0,42,3.73,10966,89034
200000,29,177940.0,42,3.73,22060,177940
400000,29,356117.0,42,3.73,43883,356117
600000,29,534318.0,42,3.73,65682,534318
800000,29,712389.0,42,3.73,87611,712389
1000000,29,890393.0,42,3.73,109607,890393
2,30,2.0,1,0.04,0,2
3,30,3.0,2,0.13,0,3
100,30,91.0,27,1.23,9,91
200,30,173.0,39,1.71,27,173
2000,30,1752.0,91,3.79,248,1752
10000,30,8874.0,91,3.79,1126,8874
20000,30,17818.0,91,3.79,2182,17818
40000,30,35553.0,91,3.79,4447,35553
60000,30,53391.0,91,3.79,6609,53391
80000,30,71200.0,91,3.79,8800,71200
100000,30,88988.0,91,3.79,11012,88988
200000,30,178022.0,91,3.79,21978,178022
400000,30,355795.0,91,3.79,44205,355795
600000,30,533887.0,91,3.79,66113,533887
800000,30,711846.0,91,3.79,88154,711846
1000000,30,889866.0,91,3.79,110134,889866
2,31,2.0,1,0.04,0,2
3,31,2.0,2,0.13,1,2
100,31,83.0,90,3.65,17,83
200,31,167.0,190,7.65,33,167
2000,31,1740.0,304,12.21,260,1740
10000,31,8899.0,304,12.21,1101,8899
20000,31,17800.0,304,12.21,2200,17800
40000,31,35649.0,304,12.21,4351,35649
60000,31,53439.0,304,12.21,6561,53439
80000,31,71220.0,304,12.21,8780,71220
100000,31,89020.0,304,12.21,10980,89020
200000,31,178024.0,304,12.21,21976,178024
400000,31,355791.0,304,12.21,44209,355791
600000,31,533717.0,304,12.21,66283,533717
800000,31,711843.0,304,12.21,88157,711843
1000000,31,889698.0,304,12.21,110302,889698
2,32,2.0,1,0.04,0,2
3,32,3.0,2,0.13,0,3
100,32,86.0,73,5.12,14,86
200,32,170.0,166,12.34,30,170
2000,32,1767.0,174,12.96,233,1767
10000,32,8858.0,175,13.05,1142,8858
20000,32,17770.0,175,13.05,2230,17770
40000,32,35609.0,175,13.05,4391,35609
60000,32,53369.0,175,13.05,6631,53369
80000,32,71156.0,175,13.05,8844,71156
100000,32,88978.0,175,13.05,11022,88978
200000,32,178099.0,175,13.05,21901,178099
400000,32,356201.0,175,13.05,43799,356201
600000,32,534344.0,175,13.05,65656,534344
800000,32,712286.0,175,13.05,87714,712286
1000000,32,890458.0,175,13.05,109542,890458
2,33,2.0,1,0.04,0,2
3,33,2.0,2,0.13,1,2
100,33,88.0,5,0.25,12,88
200,33,181.0,5,0.25,19,181
2000,33,1778.0,5,0.25,222,1778
10000,33,8906.0,5,0.25,1094,8906
20000,33,17751.0,5,0.25,2249,17751
40000,33,35533.0,5,0.25,4467,35533
60000,33,53323.0,5,0.25,6677,53323
80000,33,71140.0,5,0.25,8860,71140
100000,33,88937.0,5,0.25,11063,88937
200000,33,177980.0,5,0.25,22020,177980
400000,33,355930.0,5,0.25,44070,355930
600000,33,533638.0,5,0.25,66362,533638
800000,33,711669.0,5,0.25,88331,711669
1000000,33,889651.0,5,0.25,110349,889651
2,34,2.0,1,0.04,0,2
3,34,3.0,2,0.13,0,3
100,34,85.0,73,4.12,15,85
200,34,168.0,97,5.73,32,168
2000,34,1774.0,104,6.36,226,1774
10000,34,8893.0,104,6.36,1107,8893
20000,34,17774.0,104,6.36,2226,17774
40000,34,35691.0,104,6.36,4309,35691
60000,34,53437.0,104,6.36,6563,53437
80000,34,71337.0,104,6.36,8663,71337
100000,34,89159.0,104,6.36,10841,89159
200000,34,178254.0,104,6.36,21746,178254
